[00:03] 大家都知道图像是大自然创造的
[85:48] 他就陷入一些死大罗
[85:51] 这样想
[85:52] 最后把这个结果
[85:54] 用另一种完全不同的形式给呈现出来
[85:57] 还有瑞前
[85:58] 你会发现他这样的一个答题过程
[86:01] 事实上
[86:02] 事实上
[86:03] 就正是
[86:04] 其实跟我构造的那个pattern是一样的
[86:06] 或者说
[86:08] 我觉得OpenAI很有可能
[86:10] 也是因为看到了预训链预料中有很多这样的数据
[86:13] 所以他才设计出来这样的一个pattern
[86:16] 也就是说他的CodeStar这些pattern
[86:18] 他不是无中生有的
[86:20] 他是预训链的一种才就有的
[86:22] 这个就是
[86:23] 就这一点
[86:24] 后来我们发现
[86:25] 它对于那个模型的泛化性其实非常重要
[86:29] 对
[86:30] 因为预训链里的这些pattern虽然数量很少
[86:32] 对
[86:33] 但是它是有生成
[86:34] 不同的人或机构生成
[86:36] 而且涵盖了不同的领域
[86:38] 虽然它绝对数量很少
[86:40] 但是从知识体系和能力体系来说
[86:43] 它跟其他的数据形成了一种悬崖交错的
[86:46] 这种体系
[86:49] 也就是说
[86:50] 当你在那个CodeStar的阶段
[86:53] 你把这些pattern激发出来
[86:55] 激发出来
[86:56] 然后再用RL强化这个pattern的时候
[86:59] 因为预训链预料中
[87:01] 虽然很稀疏
[87:02] 但是到处都有这种pattern散布
[87:04] 它就顺带的
[87:05] 它把跟这些预料相连的
[87:09] 非常广大的这些领域都给激发出来
[87:12] 就融会贯通
[87:14] 这就是它
[87:15] 我认为它又非常强
[87:17] 弹劃性能力的主要根
[87:19] 所以O3 O4的多模态推理能力
[87:21] 就明显强了很多
[87:22] 这也是向你预期的方向
[87:26] 对
[87:27] 其实这个又会反思一下
[87:30] 像我们为什么就做的那套方案就不行
[87:33] 因为在图上圈点批数这些
[87:35] 全部都是我们拿程序
[87:36] 人工合成的数据
[87:37] 它的pattern过于固定
[87:39] 还在预训的预料中
[87:40] 这一类
[87:41] 就在图上
[87:42] 就非常惊喜化的圈点批数
[87:44] 比如说有谁解迷宫是真的
[87:47] 一步
[87:48] 从第一步开始
[87:49] 一个第一张图走一步
[87:51] 第二张都再走一步
[87:52] 这样这个形式
[87:53] 可能动画或者视频里有
[87:56] 但是像我们用的比较多的图
[87:58] 跟交错的预料
[87:59] 这一类是绝对是没有的
[88:01] 所以我们造的这个东西
[88:03] 你会发现它处于一个很尴尬
[88:06] 就是说它只能代表它自己
[88:08] 但是
[88:09] 它没有能力能激发出预训的预料
[88:12] 中间非常广大的
[88:14] 非常广泛的一大类这个pattern
[88:17] 对
[88:18] 这就是它效果不好的原因
[88:20] 我们再看一下最新的这个O3
[88:22] 它也是支持这个图像进这个长思维链
[88:25] 但是它对它图像进思维链的方式
[88:28] 是看起来似乎更原始
[88:30] 它只是对原图进行非常简单的编辑操作
[88:34] 比如说crop
[88:35] 比如reset这些操作
[88:36] 对
[88:37] 但是呢
[88:38] 它在做很多问题
[88:39] 我告诉了人家
[88:40] 它具有非常强的繁华性
[88:42] 实现能做的效果
[88:43] 当然有些问题它
[88:45] 比如说迷宫
[88:46] 如果你不让它写程序
[88:47] 它肯定是解不了的
[88:49] 对
[88:50] 就是它解的求解问题的上限可能并不高
[88:53] 对
[88:54] 因为它能做的动作是有限
[88:55] 但是在它能解的这个问题之后
[88:57] 它的求解成功率是远高于我们当时做的那一套
[89:01] 其实基于这套刚刚说的这个
[89:03] 这套理解也很容易解释
[89:05] 因为预训的预料
[89:07] 尤其是图文
[89:08] 混排式运算预料
[89:10] 前面有张大图
[89:11] 然后后面有各个局部把它放大
[89:14] 底下有各种解释
[89:15] 这种预料是大量存在的
[89:17] 就比如说一些电子维修网站
[89:19] 经常有那个有那个有问题的人
[89:23] 他上传一张图
[89:24] 对
[89:25] 然后那个上传一张图
[89:26] 他就问这个我这个收音机哪里坏了
[89:29] 底下就有打阻
[89:30] 他那个他那些局部给放大
[89:32] 然后你看这里
[89:33] 你这个电容烧了
[89:35] 再看另一个地方
[89:37] 你这个原件又出了什么故意
[89:39] 这种预料大量存在
[89:41] 也就是说
[89:42] 他对原图做这种比较原始的编辑
[89:44] 也就是说
[89:45] 只有这种
[89:47] 这种那个
[89:49] 只有这种放大resize crop
[89:51] 这种东西
[89:52] 看起来很原始
[89:53] 但是他是严格遵守了
[89:55] 在自然预料里面
[89:57] 他的预训的预料里面
[89:59] 是有的
[90:00] 有这种态度
[90:01] 所以它效果反而好
[90:04] 我那个看起来科学
[90:05] 但因为没有
[90:06] 所以效果反而差
[90:08] 这也是很多那个同行都发现的一个事实
[90:12] 他要这一步
[90:13] 其实他并不能发现
[90:14] 并不能无中生有新的东西
[90:17] 其实所有的知识或者能力
[90:19] 都已经有分布了
[90:20] 对对对
[90:21] 都已经有了
[90:22] 说白了
[90:23] 这也是给我们一个难题
[90:25] 你想尤其是要做多么的
[90:27] 像我刚刚说的
[90:28] 圈点基础
[90:29] 它是非常好的态度
[90:30] 但预训那里很遗憾没有
[90:32] 对这种情况下
[90:34] 我要怎么办
[90:35] 我总不能
[90:36] 我整个系统都被预训链绑到死
[90:40] 对对对
[90:41] 所以这一块也是一个非常大的一个难题
[90:45] 我插一句
[90:46] 因为之前很多人提预训链的时候
[90:48] 你加很多多么态的数据
[90:50] 会影响Tax的智商了
[90:52] 我不知道这个问题解决了没有
[90:53] 还有另外一个说法
[90:54] 你今天可以加多么态的数据之后
[90:58] 好像Skinning Law的曲线也在上台了
[91:01] 我不知道这两种说法是一个什么样的
[91:04] 当你知道要在恰当的地方
[91:07] 我要把某一个图像生成出来的时候
[91:10] 其实这个控制信号本身
[91:12] 就是生成这张图的控制信号本身
[91:14] 是有非常丰富的语义的
[91:16] 它必须要能完全理解
[91:18] 前面这段话的内容
[91:20] 它上下文中可能甚至是
[91:22] 更远处的一张图像
[91:24] 就是它要对这个动态信号
[91:27] 有完全的理解
[91:28] 所以它才能非常可控的
[91:31] 把这个图像给生成出来
[91:34] 但是很遗憾的是
[91:36] 像我刚刚说的
[91:37] 就是你生成这张图像
[91:38] 现有的所有这些方法
[91:40] 它都不是一个
[91:42] 因为种种原因
[91:43] 其实最主要是复杂度的原因
[91:45] 就是它无法有充足的算力和信息
[91:49] 把这张图完整的生成出来
[91:51] 那么这就导致生成这张图
[91:54] 它产生的规定本身就噪声巨大
[91:58] 也没有什么信息量
[92:00] 比如说Diffusion
[92:02] 最简单就是Diffusion
[92:03] Diffusion你在
[92:04] 你如果跟文字同时训练
[92:07] 那么Diffusion它一次只能生成
[92:09] 它一次只能做一次Denoise的style
[92:13] 你要sample某一个T嘛
[92:15] 那你其实对于大部分的T来说
[92:18] 它的那个Diffusion过程
[92:20] 都是没有语义的
[92:21] 因为语义都已经生成完了
[92:22] 它都在补细节
[92:23] 补细节那个东西产生的这个Loss
[92:26] 把它反传到前面语言的部分
[92:28] 其实对于那个语言的语义提升
[92:30] 没有那么多的
[92:31] 反而有可能把它搞坏了
[92:33] 但是为什么后来有人说
[92:35] 如果用autoregressive会好一些
[92:39] 但也没有本质的好
[92:41] 好一些原因是
[92:43] 因为好歹autoregressive在训练的时候的行为
[92:46] 和推理的时候行为是基本一致的
[92:49] 它在训练的时候它不是只做一步
[92:52] 它好歹是我生成一个Patch
[92:54] Patch就出来了
[92:55] 它不是只生成图像的一次Denoise的结果
[93:00] 所以它的规定会相对而言
[93:02] 更清晰一些
[93:04] 更有语义一些
[93:05] 但也没有好太多
[93:07] 我前面说了
[93:08] 图像过于复杂
[93:09] 你autoregressive
[93:10] 你还是个落子无悔的模式
[93:12] 你不大可能是有非常清晰的行为
[93:16] 这就像你在预训案中
[93:19] 有很多人试过灌题
[93:21] 把那些数学题
[93:22] 或者更像有一些公务员考试
[93:25] 那些题灌到预训案
[93:27] 但你没有给他过程
[93:28] 你只给他一个答案
[93:29] 对
[93:30] 那么这种模型的时候
[93:31] 他遇到这种题
[93:32] 他会非常confused
[93:33] 你告诉他选C
[93:34] 但他根本不知道
[93:35] 他在一个投稿内
[93:36] 他根本想不到
[93:37] 我为什么选C
[93:39] 所以这种语料灌多了
[93:40] 你会发现
[93:41] 模型会出现两个极端
[93:43] 一个比较强的模型
[93:45] 它会硬
[93:46] 强行记住
[93:47] 这个关联关系
[93:49] 下次遇到这个题
[93:50] 我不管三十下以后
[93:51] 我就选C
[93:52] 这就是表现的overfeed
[93:54] 比较弱的模型
[93:55] 它会在想
[93:56] 这个C好像跟其他有点
[93:59] C的答案比较长
[94:01] 是不是这个C
[94:03] 我选C的原因
[94:04] 就是因为它比较长
[94:05] 所以我应该再选C
[94:07] 所以他找到了这些
[94:08] 叫错误的关联
[94:09] 对
[94:10] 就会导致
[94:11] 你看我们早期
[94:12] 一些非常小的
[94:13] 做了一些非常小的模型
[94:14] 像这种一口爆的数据
[94:15] 做多了以后
[94:16] 你会发现
[94:17] 他会学到一些
[94:18] 很奇怪的buzz
[94:19] 就比如说
[94:20] 遇到一些比较难的题
[94:21] 一律选最长的
[94:22] 对
[94:23] 他会buzz到这个
[94:24] 对
[94:25] 如果语言这一块
[94:26] 大家能够理解
[94:27] 就这种训练是有害的
[94:29] 那么自然就能理解
[94:30] 这个语言
[94:31] 在图像上
[94:32] 你这种图文交错的训练
[94:34] 如果你不解决
[94:35] 这个COT
[94:37] 或者这个complexity
[94:38] 这个问题
[94:39] 它也是有害
[94:40] 对
[94:41] 就是你auto revise以后
[94:42] 就算你
[94:43] 你的监督信号的深度是
[94:44] 但是因为它一步
[94:45] 实际上
[94:46] 盖得不到这一点
[94:47] 所以它的
[94:48] 它可能剔除很多
[94:49] 是错乱的事情
[94:51] 所以最好的结果
[94:52] 就是没有效果
[94:54] 对
[94:55] 如果你稍微再差一些
[94:56] 你甚至可以做的
[94:57] 就做得非常糟糕
[94:59] 我们再回到主线
[95:00] 对
[95:01] 想问你理解的
[95:03] 多么太推理的GP时刻
[95:05] 你估计还有多久
[95:06] 还要在架构上发生什么变化吗
[95:08] 还要
[95:09] 还差什么东西
[95:10] 我接着把刚刚那个故事讲完
[95:13] 刚刚那个故事
[95:14] 其实就卡在了
[95:15] 其中一个很重要的一个点
[95:17] 我看
[95:18] 我给出了一个
[95:19] 看起来很美的模式
[95:20] 对
[95:21] 但是
[95:22] 受限于你预训练的局限性
[95:25] 你没有这个思维量
[95:26] 所以
[95:28] 其实它的推广性
[95:30] 是很纯一的
[95:32] 并且呢
[95:33] 就是在原图上做编辑
[95:34] 不管是圈点还是批注
[95:36] 还是
[95:37] 还是什么放哪
[95:38] 它这个动作空间太有限了
[95:40] 很多问题
[95:42] 我是想对这个
[95:43] 我是想对它进行一个重新打草稿
[95:46] 我是要regenerate
[95:48] 这件事
[95:49] 对
[95:50] 所以呢
[95:51] 这里就产生一个
[95:52] 就很自然的一个想法
[95:54] 就是
[95:55] 往后的路
[95:56] 我得分散成两条
[95:57] 两条路要走
[95:58] 第一
[95:59] 我得
[96:00] 我得想办法
[96:01] 要扩充我的预训练语调
[96:02] 让更多的这种表示
[96:04] 就是我
[96:05] 让我
[96:06] 让我那个思维链
[96:07] 允许更多的
[96:08] 就动了空间
[96:09] 就要扩大
[96:10] 对
[96:11] 其实这时候
[96:12] 我觉得
[96:13] 第一条路就比较显然了
[96:16] 就是视频
[96:17] 视频我们知道
[96:18] 有大量的这种教学视频
[96:20] 它是有非常丰富的
[96:22] 这个
[96:23] 就是
[96:24] 就一步一步
[96:25] 所谓的叫做思考过程
[96:26] 而且很多思考过程
[96:27] 尤其老师上个视频
[96:28] 他就
[96:29] 他
[96:30] 他经常他有那个激光笔
[96:31] 他会指
[96:32] 这些点
[96:33] 他会在上面打草稿
[96:35] 还会连辅助线等等
[96:37] 他有非常丰富的这种过程
[96:39] 对
[96:40] 如果我们把这个过程
[96:41] 也引入到这个训练过程中
[96:44] 对
[96:45] 那肯定就大有好处了
[96:47] 这是一条比较确定的路线
[96:48] 我是觉得
[96:49] 可以扩充
[96:50] 把这个视觉推理的走
[96:52] 但它主要难点
[96:53] 还是这个视频数据的清晰
[96:55] 因为绝大多数视频数据都是垃圾
[96:57] 是从
[96:58] 我说垃圾
[96:59] 我自己指的是
[97:00] 从这个模型训练的这个角度
[97:03] 对
[97:04] 因为它经常
[97:05] 因为视频长度特别长
[97:07] 对
[97:08] 以及还有一个很大的一个缺点
[97:09] 就是说
[97:10] 它怎么跟语言模态对齐
[97:12] 对
[97:13] 一旦有视频
[97:14] 它跟那种图文交错是有的
[97:16] 图文交错也要经常
[97:17] 语
[97:18] 它的文本部分是非常丰富的
[97:20] 但视频类语料的话
[97:22] 它是视觉部分很丰富
[97:24] 但是文本部分不是很丰富
[97:26] 一般都是一些那个解说
[97:28] 或者ASR的数据
[97:30] 或者字幕的数据
[97:31] 甚至还有很多是无声的
[97:33] 对这种就
[97:34] 这种其实是很难应用的
[97:36] 对
[97:37] 所以这里面的一个难点
[97:39] 其实就是还是叫做
[97:41] 就怎么有效的挖掘这些数据
[97:44] 我相信这个可能很多机构都在做
[97:47] 尤其是Google在这一块是比较超前
[97:49] 对
[97:50] 对
[97:51] 另一条路径也是比较显然的
[97:53] 就是说我要进一步扩展动作空间
[97:55] 对
[97:56] 那么对原图进行编辑
[97:57] 但是其实最具吸引的还是
[98:01] 假如说你能做非常自由的
[98:04] 且高可控的生成
[98:06] 那么这件事其实就吸引力会更大
[98:12] 对
[98:13] 因为一旦你能做自由形式的生成
[98:15] 那我的思维链里面就不再局限原图了
[98:17] 我可以把我任何我想象出来
[98:20] 或者说文字描述
[98:21] 用图像具象化
[98:23] 然后再进行推理
[98:24] 那这个时间推理肯定能再更上一层
[98:27] 但是前面也说了
[98:29] 我为什么要做视觉推理
[98:31] 因为觉得视觉生成它需要思维链
[98:34] 这件事没搞定
[98:36] 但是你现在又告诉我
[98:38] 你做视觉推理也需要靠生成来扶持
[98:41] 对
[98:42] 这不就思索了吗
[98:43] 思索
[98:44] 思索对
[98:45] 那解开思索
[98:46] 那就需要有一边能够先行一步
[98:50] 对
[98:51] 然后今年我是看到了非常好的趋势
[98:54] 一个是那个吉姆纳
[98:55] 吉姆纳
[98:56] 就是它的高可控生成
[98:58] 其实已经做得非常不错了
[99:00] 更让人震撼的还是sou
[99:03] sou的最新版
[99:05] 它的图像生成
[99:06] 它的可控性在可控线上
[99:08] 我觉得是可以做得非常好
[99:11] 而且看起来是跟它原模型已经融得非常好
[99:16] 虽然我不知道很清楚它是怎么做
[99:19] 但结果在那里
[99:21] 我也做了一些相关研究
[99:24] 后来发现
[99:25] 你只看重可控生成的质量
[99:28] 对
[99:29] 其实这件事不是那么的无解
[99:32] 就不一定需要你把cot
[99:35] 甚至是blank cot这件事搞定
[99:38] 对
[99:39] 你只要限制你的问题的domain
[99:41] 你把你的domain限制到能够一口爆解决的范畴
[99:48] 对
[99:49] 也就是意思是假如说你能很好的清洗数据
[99:54] 并且严格控制这些数据的难度
[99:57] 那么高可控生成
[99:59] 其实在很大一个domain上它是可以实现
[100:02] 我举个例子
[100:03] 我给你的图
[100:04] 一个几何的图
[100:06] 我要连接AB
[100:07] 这件事不需要任何思考
[100:09] 对它这个很简单的
[100:11] 我认为它的复杂度是非常低
[100:14] 它是完全是可以处在模型一口直接输出答案
[100:18] 这个范畴的范围
[100:20] 又比如说把某一个人给移除
[100:23] 这样的一个编辑指令
[100:25] 对
[100:26] 这个编辑指令当然你要看背景的复杂度
[100:28] 但在绝大多数情况下
[100:30] 这也是一个纯感知加深层的理论
[100:32] 它不需要
[100:33] 它这些问题背后不需要太多推理
[100:35] 对
[100:36] 之前我们没有特别重视把这些数据的纯度以及难度控制到比较好
[100:44] 就更多的还是把互联网语调
[100:46] 就是所有乱七八糟的图文交错都混了一块进行训练
[100:50] 对
[100:51] 这就产生一个问题
[100:52] 一个是刚刚你说过的
[100:53] 那些语料很多
[100:54] 就比如说很多新闻配的都是图文无关的图
[100:57] 那种就诱惑的说有些图
[101:01] 一些梗图它难度非常的大
[101:04] 它不是一个你单步或者叫单次生成所能够做的
[101:09] 之前是把这些东西全部混了一块
[101:12] 这个模型非常的struggle
[101:14] 所以导致它就可控性做的非常差
[101:17] 当然这也说明海外这些公司还是很多技术
[101:22] 或者认知走在我们前面
[101:24] 他们既然做出来了
[101:26] 我看了他们做的效果
[101:27] 大概也能猜出来
[101:30] 这种做法其实基于现有的架构
[101:33] 它还是有机会的
[101:35] 在里面的核心还是把数据好好搞一搞
[101:37] 对对对
[101:38] 所以今天我们就出了一个编辑模型
[101:42] 当然数据做的还是非常糙
[101:45] 数据也是非常脏
[101:46] 但是它出来的效果已经不是我当时做的那些
[101:50] 深圳立体化那个模型了
[101:52] 当然现在这个还不是一个完全的深圳立体化
[101:55] 还是有点像大积木拼传
[101:58] 但我们很快也会出一个
[102:00] 就基于这个模型所造
[102:02] 他们合成大量数据
[102:03] 用这种相关的数据
[102:05] 用这个数据再去训练的一个模型
[102:07] 至少对于一些简单的踏实
[102:09] 它是可以做的非常不错
[102:11] 这就是一个很鼓舞人的信号
[102:13] 事实上因为我们公司也不是很在乎
[102:16] 这些美学这些东西
[102:18] 我们是要走危机
[102:20] 对对
[102:21] 所以但是光从一个画面的结构
[102:24] 和这个instruction的这个忠实程度来说
[102:28] 我觉得现在是可以做的非常好
[102:30] 就至少对于简单的问题
[102:31] 叫指令性问题
[102:32] 就无需推理的问题
[102:34] 它是可以做的非常好
[102:35] 指令性问题就是把这个挪到那
[102:38] 或者是生成一个左边是什么
[102:41] 中间是什么上面是什么
[102:42] 就这样的问题
[102:43] 它是可以做的非常好
[102:45] 指令
[102:46] 又比如说像那个在柱状图
[102:48] 帮我连接一条水平线
[102:50] 让右边那个柱子指向那个
[102:53] 左边的那个坐标轴
[102:55] 像这样的指令它可以做的非常好
[102:57] 这个指令你要说有什么用呢
[103:00] 就很多人比较在乎美学
[103:02] 就是人脸是否极点什么的
[103:04] 其实在
[103:05] 如果你要搞的目标是推理
[103:07] 其实这件事不关键
[103:08] 它关键在于
[103:09] 你要把这些指令性的任务
[103:11] 就该完成的完成
[103:12] 至少在语义上完成
[103:14] 完整质量真的不关键
[103:16] 有一个大概那样的感觉
[103:18] 有一个方向就行
[103:19] 对
[103:20] 一旦你搞定了这一步
[103:21] 那下一步就最吸引的是
[103:23] 像这样的一个模型
[103:24] 是不是我就可以进刚刚说的
[103:27] 推理思维链了
[103:28] 对
[103:29] 我有了这样的一个模型
[103:30] 并且我还能做到
[103:32] 叫初步的
[103:33] 初级生成的业绩
[103:34] 故意生成的
[103:35] 指的是不带ZOT
[103:37] 我又简单的把
[103:38] 叫指令性problem
[103:40] 能够执行好的
[103:41] 这样的一个生成和理解的模型
[103:44] 我以它为起点
[103:46] 它可以在任何地方
[103:47] 想要的地方产生输出
[103:49] 这个输出呢
[103:50] 也不一定要一次性设定对
[103:52] 因为后面的思维链
[103:53] 还可以对它再进行修正
[103:55] 你发现是不是理解
[103:57] 更广泛的意义上的理解
[103:59] 它就可以做了
[104:01] 就比如说一些需要空间想象
[104:04] 或者需要画草图
[104:06] 才能解决的这些问题
[104:09] 有了这个东西
[104:10] 它就
[104:11] 就这些问题
[104:12] 我不说做得如何的好
[104:14] 至少它就可做
[104:16] 是吧
[104:17] 以及你会发现
[104:18] 这件事
[104:20] 当你搞定了理解部分
[104:23] 就像我刚刚说的
[104:24] 带ZOT的生成
[104:26] 甚至于Lang ZOT的生成
[104:28] 也变得可做了
[104:30] 它无非就是最后的结果
[104:32] 你输出的是文字
[104:33] 那么它就是理解
[104:35] 最后哪一步输出的是图
[104:36] 那它就是生成
[104:38] 至于中间的思维链
[104:39] 全部是图文文的
[104:40] 也就是说
[104:41] 如果能做到这一步
[104:42] 我就可以一次性的做到
[104:44] 就真正的在视觉空间生成家
[104:47] 这就是我想象中的下一个
[104:51] 我们叫做多模态的GPT-4时刻
[104:57] 对
[104:58] 这个还是很兴奋的
[104:59] 你感觉这个
[105:01] 还要多久到GPT-4时刻
[105:03] 今天处在
[105:04] 我觉得得多一年
[105:05] 很乐观
[105:06] 这是很快的
[105:07] 因为它的前置技术
[105:08] 我觉得
[105:09] 但我不是特别清楚
[105:11] 后面还有多少坑
[105:13] 但看起来前置技术都是来的
[105:16] 你的数据能洗的都干净
[105:18] 你的算法是否能稳定
[105:20] 把多模态这种东西建出来
[105:23] 我再问一个小细节
[105:24] 你比如说数据清洗
[105:25] 这个咱有现成的一些pipeline
[105:27] 那算力上它的消耗
[105:29] 比语言这一块要消耗会大很多吗
[105:32] 这个不好说的
[105:33] 都是看具体的算法和任务
[105:37] 对
[105:38] 但总体来说
[105:39] 设计视频的都少不了
[105:41] 不设计视频
[105:42] 其实跟语言其实都还好
[105:44] 差不多
[105:45] 你感觉架构上基本上也是
[105:47] 现有的架构就可以支撑
[105:49] 对
[105:50] 这件事其实不涉及更下一步的
[105:52] 更下一步进展
[105:54] 包括跟long COT啥都是独立的
[105:57] 对
[105:58] 如果你真要做long COT
[105:59] 你要做自主学习
[106:00] 在线学习
[106:01] 我认为现有的架构肯定是不行的
[106:04] 对
[106:05] 但是就我刚刚说的这个维度
[106:07] 我感觉现在海内外的公司
[106:09] 都在强调long context特别重要
[106:11] 你能讲一下为什么重要吗
[106:13] 以及说今天的难点
[106:15] long context它想要为什么重要
[106:19] 它首先这个重要
[106:20] 我理解了
[106:21] 大部分公司或者机构说的
[106:23] 都是指在应用上重要
[106:25] 因为我们现在有海量的
[106:27] 就是就做很多应用
[106:29] 我们就要有海量的产管信息
[106:32] 模型自己输出一个是
[106:34] 它不知道你具体环境
[106:36] 或应用场景的
[106:37] 这个domain specific的信息
[106:40] 对
[106:41] 然后另一块就是模型自身的幻觉
[106:44] 这是我们目前今天的一大问题
[106:46] 所以大家都喜欢把那个
[106:48] 进很多的参考资料给扔进去
[106:50] 而在现有的架构下
[106:52] 其实承纳这些或者容纳这些资料
[106:56] 的主要方式就是把它进context
[106:59] 对
[107:00] 所以很多人大家都会说
[107:02] 这个long context这件事很重要
[107:05] 但其实说实话
[107:06] 我是有不同看法
[107:08] 就从智能发展的角度
[107:09] 就有不同看法
[107:11] 其实现在我们转工的建模long context
[107:13] 是非常有问题
[107:15] 对
[107:16] 大家可以设想一下
[107:17] 就是对于一个人类
[107:18] 这个context去类比
[107:19] 如果你把这个context类比成人的这个记忆系统
[107:23] 你会发现这个很有问题
[107:25] 首先context大小
[107:26] 对于传输网
[107:27] 标准的传输网来说
[107:29] 它的context大小是谁的数据
[107:32] 数据的增长
[107:33] 它也是以同等的比例在增长
[107:36] 也就是说它不会做任何的压缩
[107:39] 它不会做
[107:40] 就它不会对一个信息进行裁减
[107:42] 它人类非常不一样
[107:43] 比如说一场会议开完
[107:45] 像大部分人都会记录一下这个会议上最重要的
[107:50] 或者印象最深的一些细节
[107:51] 你看电影也是
[107:52] 也会看到这些细节
[107:54] 但是你绝对不会看到
[107:55] 在第多少分钟上
[107:57] 桌上有多少个水杯
[107:58] 这样的一个问题
[107:59] 会牢牢记下来
[108:01] 对
[108:02] 也就是说
[108:03] 就是对人类的记忆
[108:04] 人类的记忆机制
[108:05] 说它其实是个分层的体系
[108:08] 短期记忆
[108:09] 一般人认为叫短期记忆
[108:10] 也叫working memory
[108:11] 我们认为
[108:12] 它的时长也就是两到四秒
[108:14] 非常短
[108:15] 对
[108:16] 非常短
[108:17] 比如说你抄写一个电话号码
[108:18] 它是可以保证无损
[108:20] 或者就是
[108:21] 或者说精确
[108:26] 对
[108:27] 当然它维持时间非常短
[108:28] 就是你抄完这个电话号码
[108:29] 如果这个电话对你来说不重要
[108:31] 你也不会记录
[108:32] 对
[108:33] 人真正厉害的是人的中期记忆
[108:36] 中期记忆
[108:37] 可能从几秒钟到星期几点不等
[108:41] 对
[108:42] 对
[108:43] 这套记忆其实是人类现在
[108:46] 也可以叫Mati记忆
[108:48] 对
[108:49] 这是人类经济和学习工作的一个非常
[108:53] 就是非常重要的一个机制
[108:55] 它的最大特点就是说
[108:57] 第一它是有延迟性的
[108:59] 对
[109:00] 然后它是有
[109:01] 它是会遗忘的
[109:03] 它抓重点的能力非常强
[109:05] 对
[109:06] 它根据就是未来最有可能能用上的信息
[109:10] 它才会
[109:11] 人家会记住
[109:12] 并且呢
[109:13] 这种记忆呢
[109:14] 会通过反复刺激来增强
[109:16] 最典型的就是人家写代码
[109:18] 对
[109:19] 人家写代码的时候根本不需要把那个整个仓库
[109:22] 就所有的这些东西都记
[109:24] 都记录
[109:25] 人只要招一个大概
[109:27] 然后他就可以开始工作
[109:29] 在工作的这段时间内
[109:30] 他可以保证
[109:32] 就第二天起床
[109:34] 上班
[109:35] 他跟前一天工作是可以完美的这个接续在一起了
[109:39] 他不用把代码库里
[109:40] 像农业员过去一样
[109:41] 每一个探索都要把前面的所有
[109:44] 这个代码全看一遍
[109:45] 他可能是不需要的
[109:46] 对
[109:47] 但是呢
[109:48] 这件事呢
[109:49] 也看时间
[109:50] 比如说他出去休假了几星期
[109:53] 再回来他可能就啥都忘了
[109:55] 他又得重新再review一遍
[109:57] 然后再看
[109:58] 所有的东西
[109:59] 对
[110:00] 然后最后人是有长期记忆
[110:02] 就有些东西呢
[110:03] 就是
[110:04] 经过反复的刺激
[110:06] 然后印象深刻以后
[110:07] 它会形成一辈子都忘不了的这些记忆
[110:09] 对
[110:10] 用神经网络画
[110:12] 可能就固化了参数
[110:15] 对
[110:16] 人是有这种分层记忆机制
[110:18] 对
[110:19] 但是我们再反观
[110:20] 我们那儿
[110:21] 我们的网络
[110:22] 就是
[110:23] 传统的传输码架构
[110:25] 似乎
[110:26] 如果按刚刚的
[110:27] 这几个
[110:28] 就人类的这个记忆机制来类比的话
[110:30] 它似乎只有
[110:31] 这个
[110:32] 短期记忆
[110:33] 但是短期记忆的话
[110:34] 它又太长了
[110:36] 它又太长了
[110:37] 对
[110:38] 就比如说
[110:39] 那个
[110:40] 我之前曾经算过啊
[110:41] 比如说按照一定的
[110:43] 就是码率来估计
[110:44] 估计的话
[110:45] 就是光是这个视觉
[110:47] 这个信号
[110:48] 可能两到四秒
[110:49] 也就占个三十万个头
[110:52] 就差不多了
[110:53] 但我们今天说的long context
[110:55] 动不动就是十万
[110:56] 还是百万
[110:57] 还有做千万
[110:58] 把这种解决了
[110:59] 这个long context
[111:00] 就产生一个大家
[111:02] 大家也都发现了一个问题
[111:04] 就是context
[111:05] 就是说context变长
[111:07] 它很多时候它只解决了
[111:09] 我把这个信息装下这个问题
[111:12] 但是它没有解决的一个问题
[111:14] 就是说
[111:15] 我能从这些信息里获得什么
[111:17] 就似乎我们只能做一个
[111:19] 最简单的retriever
[111:20] 稍微复杂一些的
[111:22] 这个
[111:23] 就这个推理问题
[111:25] 它其实做不了
[111:26] 它并没有解决
[111:27] 就怎么把这些信息用好
[111:29] 这样的问题
[111:30] 更麻烦的一件事呢
[111:32] 目前主流的架构
[111:34] 其实尤其是相对较小的模型
[111:36] 我们发现随着这个context增长
[111:38] 这个模型的性能都下降了
[111:41] 对
[111:42] 都下降了
[111:43] 对
[111:44] 这其中一个很大的一个原因
[111:46] 就是因为context干扰
[111:48] 就比如说你让模型做一张数学卷
[111:51] 如果你让它一题一题
[111:54] 一题做完一题清空
[111:56] 然后再做一题清空
[111:57] 它你可以得到一个性能
[111:59] 而如果让它连续做题
[112:01] 从第一题做到最后一题
[112:03] 对
[112:04] 可能开始的时候效果跟它差不多
[112:06] 但假如我题很多
[112:07] 我会有100题200题
[112:09] 你会发现越往后面
[112:11] 那个模型性能是急剧下降
[112:13] 其实你分析它的attention就可以看出来
[112:17] 就是它后面明显遇到了
[112:19] 这个注意力涣散这个问题
[112:21] 因为有太多相似的context
[112:23] 在它这个商业环境里没有清空
[112:25] 它在看后面的题的时候
[112:27] 它不断的会要attent到前面
[112:29] 然后它模型要花很多的精力
[112:31] 来避免这种干扰
