[00:03] 人就是一个标准的通用的VOA模型大佬
[82:30] 然后这个就是一种Rover Action
[82:33] 所以你可以认为他是直接拿一个VLM
[82:36] 来
[82:37] 去
[82:38] 直接的输出
[82:39] 动作他的模型的价格就是
[82:41] Backbone就是一个VLM
[82:44] 然后
[82:45] 他的训练是什么因为VLM本身就此前的话就已经
[82:49] 是这个Pretrain好的
[82:51] 然后在各种VQA的各种
[82:53] 这些任务上面Pretrain好的
[82:55] 然后他怎么样把这个
[82:56] Action这部分运进去了
[82:58] 然后就是他做了一个叫Co-Fintune
[83:01] 就是说他的Fintune的时候并不是仅仅在机器人的数据上面
[83:06] 他这个是在机器人数据就是RT1的数据
[83:09] RT1就是说你的
[83:11] 语言和视觉输入然后动作的输出
[83:14] 这部分数据有
[83:15] 然后他这部分Fintune的同时也
[83:18] 也把这个前面训练VLM的一部分数据也拿过来一起去训练
[83:24] 这个主要的核心是想要去避免他
[83:28] 就是在Fintune的这个过程中太多的去
[83:31] Overfit到Action的这一部分
[83:33] 而把之前学到的这些对视觉的理解VLM的那些任务
[83:38] 减弱了
[83:39] 所以他做了一种这样的一个Co-Fintune这样的一个
[83:42] 架构
[83:43] 所以这个是
[83:44] RT2的一个架构
[83:47] 所以说
[83:48] 你看到他
[83:49] 这个其实就是当时就比之前像RT1这些就更加强大
[83:53] 是一个端到端的
[83:55] 然后能做
[83:56] 很多种任务
[83:58] 然后关键是呢他的一个特点也是
[84:00] 他对视觉包括对语言的理解就比较强
[84:05] 对就比较正常比如说这举几个例子
[84:08] 把这个
[84:09] 香蕉放到德国
[84:11] Move Blender to Germany
[84:13] 他能知道德国的国旗是哪一面
[84:15] 然后把这个香蕉放上去
[84:18] 然后比如说这个
[84:20] Move Coke Can to Taylor Swift
[84:22] 就放了几张照片
[84:23] 他能知道哪个照片上面是Taylor Swift
[84:26] 然后直接把这个可乐放过去
[84:29] 所以说就是
[84:31] 有这类似的就是他能有比较好的
[84:33] 视觉和语言理解的能力
[84:36] 尝试而且这些都是包括这个热火队
[84:39] 等等
[84:40] 等等就是就是这些其实是在因为
[84:44] 因为VLM是在大量的互联网各种数据上去的
[84:48] 对吧所以他认识谁是谁
[84:50] 什么什么什么国旗这些有这些
[84:52] 常识在里面了
[84:54] 然后所以说
[84:55] 他把这个训练之后那么我们的机器人
[84:58] 相对这个机器人模型也具备了这些常识
[85:00] 对对
[85:02] 对所以是这样的他当然也展示了这个是跟
[85:06] 刚才展示泡咪类似的这些任务
[85:07] 他能很快的知道
[85:10] 什么是这个番茄酱
[85:12] 然后什么是这个瓶子对吧
[85:14] 然后
[85:15] 完了之后就展示了一样
[85:18] 一系列的这个任务
[85:19] 当然就是从量化来讲的话他也比比如说RT1
[85:22] 等等的
[85:23] 这些
[85:24] 都明显要好
[85:26] 特别是在
[85:27] Unseen
[85:28] 如果是在这个见过的任务上面刚才讲RT1其实也已经蛮高的
[85:32] 这个区别不大
[85:33] 但是在没见过的
[85:35] 他的这个优势就体现出来了
[85:38] 因为刚才讲到他是在
[85:39] 他相当于有VLM有VLM是在
[85:42] 大量的互联网的
[85:43] Cretrain好的数据上面训练的
[85:45] 比如说刚才展示的一些
[85:48] 什么Tennis Rift或者等等这些任务的他的数据几率
[85:51] 他的基础数据几率可是没见过的
[85:53] 对对但是因为他有个Cretrain好的VLM
[85:56] 他这部分泛化性就能用上
[85:59] 对所以这是
[86:01] 这是RT2的
[86:03] 对
[86:06] 这个大概是
[86:08] 下面就到一个RTX
[86:09] 你看这篇论这个比较特点是作者
[86:12] 巨多
[86:14] 对
[86:14] 他这篇论做了什么事情他本质上是搞了一个
[86:18] 搞了一个Data Set
[86:19] 这个也是去年的论文
[86:22] 搞了一个Data Set
[86:24] Data Set是怎么来的就是把
[86:27] 各个实验室
[86:29] 主要是在美国那边各个实验室他们的
[86:32] 做之前收集的一些数据集
[86:35] 一些数据
[86:36] 然后都给
[86:38] 都给集成起来
[86:40] 然后去训练了两个东西的model就是他一个是说
[86:45] 提供了这些数据集
[86:46] 另一个呢用RT1和RT2的模型
[86:50] 去训练在这些数据上面训练
[86:53] 做了这样的一个事情
[86:54] 然后这个数据集是开源的
[86:56] 然后现在做VLA的模型
[86:58] 用的最多的就是这个数据集
[87:00] 所以是对整个Community是做了
[87:03] 这个发展是做了比较好的这个贡献的
[87:05] 可以看到这个是
[87:07] 各类的这个
[87:09] 数据机器人的数据因为
[87:12] 就是从这些Nav里面
[87:13] 就是很多是本身这些Nav就收集过的
[87:16] 然后也有一些是为了这个文章然后去新的收集的
[87:19] 然后他也把
[87:20] Google内部自己做的RT1和RT2工作所用的数据
[87:24] 也一起去开源出来了
[87:26] 他为啥要开源
[87:28] 就是促进行业发展
[87:31] 促进学术行业的这个发展
[87:33] AI这块的话基本上还是比较开放的
[87:36] 你会看到很多工作都是开源的
[87:39] 有很多开源的数据集和Benchmark
[87:41] 而且这个影响力的话是会比较大的
[87:44] 就是基本上
[87:45] 我们都知道
[87:47] RT的这系列
[87:48] 然后大家都会用RTX的这个数据集
[87:50] 基本上成为我们的一个标配
[87:54] 在机器人领域现在谁的技术口碑是最强的
[87:58] 这个也分领域了
[87:59] 那比如说VLA的领域的话口碑肯定是
[88:02] 刚才说这一帮就是Google和这个
[88:05] 包括Py的
[88:07] 他们那一帮人
[88:09] 然后看到这个数据集的话有很多种各种
[88:14] Data set有大概60个数据集
[88:16] 60个不同Nav给出的这个数据集
[88:19] 然后很多种
[88:20] Skill然后有多种不同的Embodiment
[88:23] 当然我们看到这个Embodiment
[88:25] 基本上都是一个机械臂夹爪
[88:29] 虽然都是不同的这个机械臂
[88:33] 然后这个是
[88:34] 它的一个缺陷之一
[88:36] 然后任务就有非常多
[88:38] 然后还有一个问题是因为
[88:40] 他这个数据采集是直接从各种Nav
[88:43] 实验室Nav
[88:44] 然后让他们直接给发过来
[88:47] 所以说质量
[88:48] 其实
[88:49] 不算很高
[88:51] 大部分的
[88:52] 数据质量不是特别高
[88:53] 但是呢
[88:54] 就是高一些的是因为Google他也开源了自己用的
[88:57] 他那部分是收集的是
[88:59] 并工程化团队去做的是比较好的
[89:01] 但是很多Nav的数据质量其实一般
[89:04] 但是也是蛮有用的
[89:06] 对他做对数据的这个分布
[89:09] 哪些本体然后做哪些任务都做了这样的
[89:12] 统计
[89:13] 你可以认为这个主要是这个数据集
[89:15] 然后
[89:16] 当然就在他们自己的RT1和RT2的这个
[89:19] 模型上面然后在这个新的模型上
[89:22] 这个数据集上做了训练
[89:23] 但他有一个发现
[89:24] 就是发现
[89:25] 在这样的一个cross-emboliment
[89:27] 就是因为
[89:29] 这些数据集都是来自不同的机器本体上的
[89:33] 然后发现了
[89:35] 这个跟刚才讲的cross-former发现了同样的这样的一个现象
[89:39] 就是说
[89:40] 这个彩虹色的就是在各种各样的这些数据集上面训练的
[89:45] 会比你在单一数据集上面
[89:47] 单一任务在单一数据集上面训练的要好
[89:50] 这个也是
[89:52] 现在就是更多的
[89:53] 各类各样的数据完了之后
[89:56] 形成到这样的一个通用模型
[89:58] 比你在单一任务上训练一个专用模型
[90:02] 要更好
[90:04] 对
[90:04] 这也是就是我们想要达到的一个
[90:07] 目标嘛就是我们希望的不仅仅是说有一个模型他能干多种事情我们还希望
[90:12] 最终他因为数据多然后他能scanning
[90:15] 提升他的这个performance
[90:18] 然后这个论文是说初步的看到了
[90:22] 确实有这样的现象
[90:25] OK
[90:27] 这是更多的这个
[90:28] 技术的一个
[90:30] 指标
[90:31] 然后包括跟RT2来比
[90:34] RT2的话就是
[90:36] 只是在他们自己的一个数据上面
[90:38] RT2
[90:39] X就是在这个X-involume更大的数据上训练
[90:42] 发现他的这个performance是更好的
[90:46] 对
[90:47] 对
[90:48] 然后这个是他里面做的这种
[90:50] 就是说因为也是当时
[90:52] 的实验室
[90:53] 所以
[90:53] 还不算这些任务都不算特别复杂
[90:57] 就是
[90:58] 但是是大家写数据的标准用的这样的一个
[91:02] 数据集
[91:03] 但是如果说咱们能有更复杂的各种任务的数据集的话
[91:07] 就会对这个
[91:09] 咱们的训练就会更有帮助
[91:13] OK这个是
[91:14] RTX
[91:17] 然后就是有一份工作叫OpenVLA
[91:20] 其实刚才的
[91:22] RT1
[91:24] 的模型和训练是开源的
[91:25] 但是RT2没有开源
[91:27] Google没有开源
[91:29] 对
[91:30] 然后你可以认为
[91:32] OpenVLA就是一个
[91:34] 算是一个开源版的RT2
[91:37] 对就是一个开源版的RT2
[91:39] 并且他把模型调优 调优的比较好
[91:42] 调的比RT2原始的要更好
[91:44] 对
[91:45] 这个也是这个就是还是他们那帮人
[91:48] 当然是在学校里面
[91:50] 这个是以学校为主
[91:52] 在做的但还是他们那帮人
[91:54] Google这些都参与了
[91:56] 对还是这帮人
[91:59] 只是它的主体不是Google
[92:01] 对对对
[92:04] 然后看到这个模型的话
[92:08] 一样的就还是一个VLM
[92:10] 然后直接输出这个机器人的动作
[92:14] 然后VLM也在各种数据集上面去训练
[92:17] 然后当然他把一些
[92:19] 具体一点的模型参数或者等等
[92:22] 调的还是比较不错
[92:24] 所以说可以看到他跟RT1 RT2都做了对比
[92:27] 然后是达到了SOTA的这个
[92:29] Performance
[92:32] 然后整个是
[92:34] 这个模型训练和这些都是开源的
[92:36] 所以说这个也是对
[92:38] 行业的一个
[92:40] Community的一个促进
[92:42] 对就是之前的话是没有开源的RT2那次的工作的
[92:46] 这个也是在去年的时候
[92:48] 就工作出来的
[92:49] 然后这个基本上
[92:52] 做的任务因为也都是在RTX的数据集上面
[92:54] 大概是这样一些任务
[92:56] OK
[92:56] 然后下面刚才是讲的VLM
[92:59] 然后这样看到就是这一类的VLM
[93:02] 它的核心的话就是说
[93:05] 这部分工作
[93:06] 他也是VLA
[93:07] 核心就是他直接是用一个VLM拿来输出
[93:11] 这个动作
[93:13] 然后他本来是他本来VLM就可以输出各种Token
[93:17] 然后完了之后他把他直接
[93:18] Decode Token来使成动作
[93:21] 然后
[93:22] 但是因为我们之前也是出来之后我们复现了
[93:25] 当然是在OpenVLA开源之前我们其实一直L3我们一直就在复现RT2
[93:29] 复现之后反正就觉得这种方式
[93:32] 还是有他的一些局限
[93:34] 因为他本质是他
[93:36] 确实太缺少对于
[93:38] Action这一层面的一个处理
[93:40] 就他的
[93:41] 网络模型直接就是拿一个VLM
[93:44] 然后你相对是靠输出因为
[93:46] 我们的Action你其实也可以用语言表示出来对吧
[93:50] 因为你语言你可以
[93:51] 你也可以输出一些数字对吧
[93:54] 那么我的坐标什么的你可能就能够去
[93:56] 表示出来
[93:57] 但是他确实缺乏专门的对动作的一个处理
[94:00] 而且一般来说VLM的话运行是比较慢的
[94:04] 像RT2的话基本上就1到3赫兹
[94:06] 一秒钟
[94:07] 动个一两
[94:07] 就是
[94:08] 输出一两次
[94:09] 这个对机器人来说这个频率是
[94:11] 非常低的
[94:12] 对一些稍微动态点的任务
[94:14] 去执行效果
[94:16] 惊喜点的就是就会有影响
[94:18] 所以
[94:19] 接下来这一类就是说
[94:21] 相对是在VLM基础之上
[94:23] 然后把Action这部分增强
[94:26] 对
[94:27] 然后这个是我的课题组
[94:29] 这边
[94:30] 去年的时候做了一篇工作
[94:31] 我把它叫做Hierarchical
[94:36] 然后但他其实本质上不是一个分层他只是分到两个网络但是本质上还是一个端到端的一个模型
[94:42] 直接因为我们是端到端来去训练的
[94:45] 就这样说一下就我认为怎么去判断是否是端到端
[94:48] 你应该看他的输入输出数据是不是直接给他端到端
[94:51] 没有给中间的量
[94:52] 并且他的训练
[94:54] 是不是直接端到端去训练的
[94:56] 然后你的模块之间是不是这个直接T2可以回传的
[94:59] 如果是的话整个他就是一个端到端模型
[95:04] 这个是我们这个图
[95:06] 左边那就是相对RT2
[95:08] 就标准的这样RT2的这一类的VLA的模型
[95:11] 他是直接一个VLM直接输出Action也是一个比较低的一个频率然后没有任何对Action处理的模块
[95:18] 对这个任务呢我们是加了一个Action Policy
[95:21] Action模块这个呢
[95:24] 你可以用
[95:26] 简单的MLP或者是用一个Transformer
[95:29] 后面看到包括有包括Diffusion也都是可以的
[95:32] 但是说这个就是专门做处理Action的这个模块
[95:36] 然后你看是VLM的
[95:38] 他的相应的信息就比如说他的Latent
[95:40] 等等一些信息
[95:41] 你要去能够很好的传到Action Policy
[95:44] 然后我们做了一个分频的处理
[95:47] 就是VLM是一个比较低的频率
[95:49] 在运行
[95:50] 然后Action Policy是一个比较高的频率在运行
[95:53] 因为他的参数是比较小的
[95:56] 大概几十个M
[95:57] VLM可能有几个B
[96:00] 大概是这样的一个所以他能以比较高的一个频率去运行
[96:04] 然后这个Action Policy也需要输入
[96:08] 他的这个视觉的动作因为你需要
[96:10] 你的控制需要经过这个视觉的反馈的
[96:13] 对
[96:14] 这样的我们是达到了这样的一个效果你看到就是这个Valina VLA相应就是RT2
[96:20] 我们没有把它叫做RT2因为这个是我们自己复现的RT2
[96:25] 因为他没开源
[96:27] RT1是开源了
[96:28] 然后我们看到就从performance
[96:30] 这个柱状图表示的是performance
[96:32] Performance来讲的话就我们的方法
[96:34] 和RT2是类似我们甚至稍微更好一点
[96:38] 但是明显是比RT1要好
[96:40] 然后这个是Inference Speed
[96:43] 就是你推你的速度
[96:45] RT1是最高的因为RT1很小
[96:48] 就你可以认为基本上RT1就跟我们这个
[96:50] 模型一样小
[96:53] 然后但是如果是VLM如果是RT2的话
[96:56] 他推你速度就很低
[96:58] 然后我们是能在保持
[97:00] 很高的Success Rate的情况下
[97:02] 保持一个比较高的一个
[97:04] 推你速度
[97:05] 这个更好也是来源于
[97:07] 来源于我加了一个performance更好也是来源于我加了一个专门处理Action Policy
[97:12] 所以他的performance也会更好
[97:14] 所以说你可以说就是相对于前面的RT2是一个
[97:19] 这个改进
[97:20] 一个一方面改进他的performance
[97:22] 通过Action Policy
[97:23] 专门对
[97:24] 动作的解码
[97:26] 另一方面是说
[97:27] 加了这个
[97:28] 另一方面是说加了这个分频的分频率的一个处理
[97:32] 所以说他的这个推你速度会更高
[97:35] OK那这是具体一点的
[97:38] 这个网络
[97:39] 架构
[97:39] 基本上这就是标准的这样VLM的这样一个架构
[97:42] 然后我们的NATENT
[97:43] 直接输出过来然后
[97:46] 给到我们的这个Action
[97:48] 这个Policy
[97:49] Action也就是
[97:50] 也会处理
[97:51] 相应的这个
[97:52] 视觉因为提到刚才说的需要经过这个
[97:55] 视觉的一个闭环的处理
[97:57] 对然后整个是达到这样
[97:59] 然后这里面比如显示出来如果能展示出来的
[98:02] 比较好除了刚才说的量化的数据
[98:05] 那比如说他特别在这个Dynamic task上面
[98:08] 会有更好的一个效果因为他推你频率更高对Action的处理更精细
[98:12] 那就比如说这个是让他去抓取
[98:14] 然后我人在边动他边要去track我这个物体来去抓
[98:18] 这个的话就是说
[98:20] 会明显我们这个会很快的速度
[98:25] 及时的能够去track
[98:27] 但是说你用RT2这种因为它的频率很低动作不精细所以说就容易失败
[98:32] 这是你们去年的工作是吧
[98:35] 对去年去年上半年就投了的一个工作
[98:38] 大概去年中的时候开出来了
[98:40] 这可以提一个Figure
[98:42] 当然他没有发论文但是今年
[98:46] 二三月的时候Figure他发布他的最新的这个架构Helix
[98:50] 他把它叫做这样的系统一和系统二
[98:53] 其实这个架构跟咱们的
[98:56] 刚才的讲的那篇工作架构基本上是一个意思
[99:00] 系统二其实它就是一个预训练的VLM
[99:03] 然后下面是一个这个
[99:05] 大概80M的一个Transformer
[99:08] 然后完了之后也是做了分频率的一个处理
[99:12] 视觉也是都是同时给他这个然后中间给
[99:14] 潜在
[99:15] 这个latent的这个Vector
[99:17] 去作为一个传输
[99:20] 对对这是Helix
[99:22] 但他没有相应的论文
[99:24] 然后就是
[99:26] 类似的这个想法的话就是派灵
[99:28] 派灵是在去年
[99:30] 10月还是11月的时候发布的
[99:32] 就是派的他们的那个
[99:35] 重磅的一个工作
[99:36] 当时影响力也是非常大的
[99:38] 对然后看到他也是类似他这有一个前面也是一个Pretrained VLM
[99:44] 然后后面是一个Action Expert
[99:47] 其实作用跟刚才说的Action Policy是
[99:50] 类似的
[99:51] 但他的架构不太一样
[99:53] 他是这个Diffusion Flow Matching的这样的一个
[99:56] 这样一个网络架构
[99:58] 但是说他起的作用是一致的
[100:00] 然后他他没有做分频率的一个处理
[100:04] 他直接串过来的
[100:05] 就是我们这做了一个分频率的一个处理然后
[100:08] 就是我的微信的图像也会直接
[100:11] 去输入到这个下面这个Action Policy这个系统里面
[100:15] 然后他这他这没有做分频率的一个处理
[100:17] 然后相对微信就是从最开始
[100:19] VLM这输出了然后直接就输出到
[100:22] 直接就连到Action那边了
[100:25] 对然后但就是说他整个因为毕竟是这个
[100:29] 派的这个团队整个效果还是做得非常好的
[100:32] 对然后他展示了当时展示的一个
[100:35] 任务就是这个
[100:36] 叠衣服
[100:38] 从洗衣机里面
[100:40] 然后把这些衣服去夹出来
[100:50] 然后然后来去叠衣服
[100:52] 叠裤子
[100:57] 派的这个精细化一直做的感觉是最好的
[101:00] 对对对你可以看到这个
[101:02] 基本上这个就是Aloha的那个币的
[101:05] 就是Aloha基本上也是那个
[101:06] 就是他们团队的
[101:09] 对都是那一帮
[101:10] 所以说他们对于
[101:12] 这一盘
[101:13] 就刚才说口碑或者包括他的这个
[101:16] 这个影响力是非常大的
[101:19] 他们这个精细化做得好复现吗
[101:22] 也还行
[101:24] 有的还行
[101:30] 对
[101:31] 然后也有的还行
[101:31] 因为他的其实很多开源了嘛
[101:33] 就是比如包括他的Aloha的那一片也是开源了
[101:36] 还有一个相关就是因为近期发就是NVIDIA Groot
[101:41] 就因为打他发布的
[101:43] 这样一个模型
[101:44] 然后他的模型也是类似
[101:47] 这一盘就是
[101:48] 前面有一个VLM
[101:50] 然后后面有一个对Action的一个处理
[101:54] 然后他这是用的一个这个Diffusion Transformer
[101:57] 的这样的一个价格作为这个Action Policy
[102:00] 然后并且加了一个Action的Encoder Decoder
[102:05] 相对对Action做更精细化的这样一个处理
[102:08] 这个是一个
[102:09] 他的一个处理相对是在Action这一块有更多精细化的一个处理
[102:13] 然后同时呢他的训练
[102:17] 也加了一些因为他做仿真嘛
[102:19] 也加了蛮多他仿真器里面自动生成的数据
[102:22] 来去训练
[102:24] 来去做这个数据增强
[102:26] OK
[102:27] 然后这块是大概是这一条线就是VLM这条
[102:30] 加Action这一条
[102:31] 下一条想讲一讲就是说
[102:34] 关于Diffusion的
[102:36] 这一条然后他是
[102:38] 他跟Transformer有很多就Transformer是底层的架构
[102:42] Diffusion是一个训练的方式
[102:45] 是一个训练的这个方式
[102:47] 然后
[102:48] 然后这条线呢就是我们其实我们会知道
[102:52] 就是说很多这个
[102:53] 我们会知道就很
[102:54] 就Diffusion Model的话他比较擅长做视频或者是这个图像的生成
[102:59] 现在我们看到很多Postal或者等等的
[103:02] 这些
[103:03] 高清的视频图像生成都是基于Diffusion
[103:06] Model
[103:07] 然后他本质上是有一个加造加去造的这么一个过程
[103:11] 就同一个图形
[103:12] 他的训练方式
[103:13] 就是最high level训练方式跟VAE非常像
[103:16] VLM Auto Encoder非常像
[103:18] 他学出一个Encoder然后再学出一个Decoder
[103:22] 只不过这个然后完了之后他
[103:24] 他Encoder完了之后都是变成变到一个
[103:27] 高线的一个
[103:28] 这个Latent Space
[103:29] 然后再解码出来
[103:31] 只不过
[103:32] 他的这个编码和解码的过程不太一样
[103:34] 编码过程是通过多步的加造
[103:36] 解码过程是通过多步的去造
[103:39] 然后核心是学这个因为他核心是为了生成
[103:41] 所以核心是学这个多步去造的这个网络
[103:44] 这个F网络这一块
[103:46] 然后
[103:47] 他是经过了多步
[103:49] 然后
[103:50] 当然就是具体的这个网络该怎么选择
[103:53] 就有很多你可以是CNN相关
[103:56] Unit或者
[103:56] 也可以是
[103:58] 这个Transformer
[104:00] 所以是Diffusion是这样的一种
[104:03] 生成式的训练方式
[104:05] 就是这种方式能帮助我们训练一个
[104:07] 比较好的生成式的模型
[104:09] 所以说
[104:10] 后面因为有了Diffusion之后大家就想那么这个
[104:13] 怎么用来
[104:14] 做机器人因为你可以认为
[104:16] 这机器人任务的话也很重要就是你要生成他的
[104:19] 动作
[104:20] 包括他的动作轨迹
[104:21] 所以大家就想到OK我能不能用因为Diffusion这个生成能力很强能不能用它
[104:25] 来去生成机器人的动作轨迹这会不会更好
[104:29] 所以说这个就做出来
[104:31] 一篇工作叫Diffusion Policy
[104:33] 是很有名的
[104:35] 就一大类
[104:36] 工作线在机器人的这个领域里面
[104:39] 然后他本质上就是跟那个刚才Diffusion Model是一样的就是用了Diffusion Model
[104:44] 这样的一个训练方式
[104:45] 当然就是说稍微区别一点就是说他的这个网络的话
[104:49] 还需要condition
[104:50] 你当前的一个状态输入
[104:53] 因为你都做比如说你开车你要基于当前的你的图像或者等等这样的一个输入
[104:58] 然后他把
[104:59] 这个Action部分进行刚才的
[105:02] 这个加噪和降噪的这样的去噪的这样的一个处理来学习怎么样去
[105:06] 生成一个比较好的
[105:08] Action的训练
[105:09] 对这Diffusion Policy做的
[105:11] 用的时候呢
[105:12] 也是用类似于这样的
[105:14] 用的时候也是用类似于这样的一个
[105:17] 这个我刚才提到MPC的这样一个方式因为Diffusion Policy他是直接去生成一系列的这个
[105:23] Action动作
[105:24] 然后你当前的时刻呢你是
[105:27] 采取
[105:27] 当前证或者是
[105:30] 最近的这几帧
[105:31] 来去执行
[105:32] 然后下一个时刻他又会去
[105:34] 生成出那么基于下一个时刻的一系列的
[105:37] 动作
[105:39] 对对
[105:40] 然后
[105:41] 这块呢这儿提到像这边里面提到
[105:44] 像刚才说
[105:45] Diffusion Policy是他的这个训练的方式然后他中间的网络
[105:49] 因为他多步的这个去造的
[105:51] 这个网络那么每一块这个网络对吧你可以是CNN的也可以是这个Transformer的
[105:56] 都有不同的选择
[105:58] 然后
[105:59] 然后这个的话就Diffusion的话就是他对这种
[106:02] 一个像比较复杂带长时序的
[106:06] 精细的任务还是比较擅长的
[106:08] 你看到
[106:09] 比如这个的话是把这个T型的这个架子
[106:12] 然后把它去
[106:14] 把它
[106:15] 放到这个里面
[106:16] 你看到他可以多步的就这里面这个是一个很小的一个模型Diffusion模型也没有任何的这个圆
[106:22] 模型在里面
[106:24] 但是呢
[106:25] 能够执行这样复杂的长时序的这样的一个任务
[106:29] 而且也能做得比较精细
[106:31] 对
[106:32] 然后包括这儿也是当时Diffusion Policy一个
[106:35] 经典的任务
[106:36] 就是
[106:38] 把这个酱
[106:39] 然后均匀的去抹在
[106:41] 这个这个小蛋糕上
[106:48] 还有就是这个过程中你可以还可以进行各种干扰
[106:52] 可以看到这个人在不断的
[106:54] 把这个
[106:55] Pancake然后进行移动
[106:58] 这是一连续的动作他完了之后
[107:02] 完了之后
[107:03] 这个币还有去把这个抹开
[107:11] 当然Diffusion
[107:12] 这一块也是研究了一阵子
[107:15] 然后是记得
[107:17] 记得哪一年几年前就开始研究然后后来
[107:20] 终于是把这一套打通了
[107:22] 因为Diffusion最开始是在生成图像嘛
[107:25] 但是
[107:26] 后面后面大家是觉得有可能在
[107:28] 这个机器人上面也搞定
[107:30] 然后后来确实是现在效果还是蛮不错的用Diffusion
[107:34] 然后这
[107:35] 这一个工作一个续作呢就是叫RDT
[107:38] 也是业界
[107:39] 比较知名的一个工作是清华的朱军老师这边做的
[107:42] 然后他本质上呢
[107:45] 是把Diffusion Policy Scale到比较大的一个
[107:48] 程度
[107:49] 他到一个币
[107:51] 这样的一个量级
[107:52] 之前Diffusion Policy是蛮小的一个
[107:54] 参数量
[107:56] 然后他也是在各种很多的数据集上面
[107:58] 做了预训练和自己的数据上面做了Fintuning
[108:01] 这个预训练量大概是一个million
[108:03] 然后其实大量的用到了
[108:05] 刚才提到RTX的那个数据
[108:08] 对
[108:09] 然后能做各种各样事情
[108:12] 他的架构的话
[108:15] 也是
[108:16] 这个image的input
[108:18] language的input
[108:19] 经过一些encoder进来
[108:20] 然后这样是一个Diffusion Transformer的
[108:22] block
[108:23] 但是整个是Diffusion这样
[108:25] 有连续就这些的L次的一个连续去造这么一个过程
[108:29] 但是每一个
[108:30] 这个去造网络是有一个Diffusion Transformer去构成的
[108:34] 这里面可以提到一个他的有一个创新是这个叫Unified Action Space
[108:40] 刚才我们其实讲那个Transformer的时候讲过的Action Space的一个处理
[108:44] Transformer他是说不同的比如说本体的
[108:47] 这个架构然后他是
[108:48] 用了一个不同的Action Head
[108:52] 然后但是对于这个
[108:54] RTT的这一片来说呢
[108:56] 他是
[108:56] 全部的本体都用了一个统一的一个向量但是他把这个向量比较长
[109:01] 然后他分配了一下
[109:03] 就比如说对这个向量的中间的这
[109:05] 这一坨然后他分配给一个单臂的系统
[109:08] 然后这一块分配给一个双臂的
[109:11] 这一块分配给一个轮式的
[109:13] 大概是这样的方式来去统一
[109:17] 但我个人其实还是认为可能Action Head的方式会更好一些因为我们不好说未来会有多少种
[109:23] 就是你很难去
[109:24] 提供一个就是非常你可能需要准备一个非常长的一个向量
[109:29] 或者你有可能会遇到训练完了之后
[109:31] 向量不够用了
[109:33] 这样的一个情况出现所以说
[109:35] 加小脑更好
[109:36] 对所以可能不如直接
[109:39] 分开因为你的
[109:40] 因为你有共享了很大部分的一部分的这个大脑
[109:43] 所以你小脑部分只需要比较少的相对比较少的数据去翻Tune
[109:47] 我觉得这个也是值得去做
[109:50] OK
[109:50] 然后这个是纯Diffusion但是看到他这一块的Diffusion就是说
[109:54] 一样
[109:55] 他本质上也是一个VLA
[109:57] 因为他的也是语言
[109:59] 和视觉输入Action直接输出
[110:02] 你可以直接就像
[110:03] 最开始咱们用Transformer的架构来去做这个是他用Diffusion的方法去使用
[110:08] 对
[110:09] 对对对当然就是
[110:11] 刚才说
[110:12] 到底应该用Transformer架构还是用Diffusion的架构
[110:14] 我觉得这样说不准确就是
[110:17] 因为这里面也用了Diffusion
[110:19] 这里面这个里面也用了Transformer
[110:22] 他这个Diffusion里面的去造网络就是一个Transformer的
[110:25] 网络
[110:26] 这里面
[110:27] 只不过是可以说Diffusion是一种
[110:29] 新的一种训练方法
[110:31] 生成式的训练方法
[110:33] 而上面的
[110:34] 我们提到的这个Transformer是一个很直接的一个Suprase Learning
[110:38] 直接的这样一个方法
[110:40] 然后Diffusion
[110:43] 对训练方法
[110:44] 不同
[110:45] 你可以认为这个上面的这一波都是
[110:48] 直接的Suprase Learning的方法
[110:49] 然后这个Diffusion是一种生成式的训练方法
[110:53] 对但是网络架构呢我刚才看到这个Diffusion RTTR这些里面其实也用了Transformer
[111:00] 也用的是Transformer
[111:01] 所以说
[111:02] 是这样的
[111:04] OK
[111:05] 然后后面就可以讲到
[111:07] 这块在Diffusion
[111:09] 因为我们想Diffusion
[111:10] 其实很
[111:11] 重要的一个能力是这个生成式
[111:14] 的能力
[111:15] 然后我们想其实刚才也有讲过嘛就是Transformer其实也有跟
[111:20] 就是说
[111:21] 刚才我们已经提到
[111:22] 你如果说
[111:23] 把Prediction
[111:25] 对未来Prediction加进去的时候是有帮助的
[111:28] 我们认为这个是对
[111:29] 你具备对未来世界或者是未来一段时间
[111:32] 物理现象的一个Prediction的能力的话
[111:35] 你具备这个能力是
[111:36] 我认为这个能力是构建巨神智能很重要的一个能力之一
[111:41] 而这个能力是非常适合Diffusion这种架构
[111:44] 因为Diffusion
[111:45] 因为你要预测未来的视频
[111:47] 现在最牛的
[111:48] 视频生成或者整形
[111:50] 就是都是基于Diffusion的
[111:52] 因为它生成式能力很强嘛
[111:54] 所以说
[111:55] 这两块是我们做的工作
[111:57] 做的这个心得工作就是
[111:59] 相对于是说在
[112:01] Diffusion的
[112:02] 这个
[112:03] 架构下面这种生成式的架构下面
[112:05] 同时去生成Action和
[112:07] 对未来的预测
[112:08] 这边工作我们叫Prediction
[112:10] Diffusion with Action
[112:13] 所以这个也是来自于比如说Diffusion的Generative Model
